ticker,active,name,market,locale,primary_exchange,type,currency_name,cik,description,homepage_url,list_date,market_cap,phone_number,total_employees,address1,address2,city,state,postal_code,branding_icon_url,branding_logo_url,sic_code,sic_description,ticker_root,ticker_suffix,weighted_shares_outstanding
AAM,1,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,usd,0002012964,AA Mission Acquisition Corp is a blank check company.,,2024-09-16,443257920.0,832-336-8887,,"21 WATERWAY AVENUE, SUITE 300 #9732",,THE WOODLANDS,TX,77380,,,6770,BLANK CHECKS,AAM,,43974000.0
AAM.U,1,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,usd,0002012964,AA Mission Acquisition Corp is a blank check company.,,2024-08-01,,832-336-8887,,"21 WATERWAY AVENUE, SUITE 300 #9732",,THE WOODLANDS,TX,77380,,,6770,BLANK CHECKS,AAM,U,
AAM.WS,1,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,usd,0002012964,AA Mission Acquisition Corp is a blank check company.,,2024-09-16,,832-336-8887,,"21 WATERWAY AVENUE, SUITE 300 #9732",,THE WOODLANDS,TX,77380,,,6770,BLANK CHECKS,AAM,WS,
AAME,1,Atlantic American Corp,stocks,us,XNAS,CS,usd,0000008177,"Atlantic American Corp operates in specialty markets within the life and health and property and casualty insurance industries. The company has two segments: American Southern, It provides property and casualty insurance including bodily injury and property damage liability coverage, uninsured motorist coverage, and physical damage coverage for commercial accounts. It also provides tailored business automobile insurance coverage, on a multi-year contract basis, to state governments and local municipalities, and Bankers Fidelity, the company's life and health operations offer a variety of life and supplemental health products including ordinary and term life insurance, Medicare supplement, and other health insurance. It earns revenue from the collection of premiums and investment income.",https://www.atlam.com,1984-09-07,30599637.0,(404) 266-5500,155,4370 PEACHTREE RD NE,,ATLANTA,GA,30319,,https://api.polygon.io/v1/reference/company-branding/YXRsYW0uY29t/images/2024-10-01_logo.png,6311,LIFE INSURANCE,AAME,,20399758.0
AAOI,1,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,usd,0001158114,"Applied Optoelectronics Inc is a provider of fiber-optic networking products for the Internet data center, cable television, telecommunications and fiber-to-the-home end markets. The company focuses on designing and manufacturing a range of optical communication products from components, to subassemblies, and modules to complete turn-key equipment. Demand for Applied Optoelectronics is driven by bandwidth demand in end markets. Through direct sales personnel, and manufacturing teams in the United States, China, and Taiwan, the company coordinates with customers to determine product design, qualifications, and performance. The company derives maximum revenue from Taiwan.",https://www.ao-inc.com,2013-09-26,1642198935.29,281-295-1800,2149,13139 JESS PIRTLE BLVD,,SUGAR LAND,TX,77478,https://api.polygon.io/v1/reference/company-branding/YW8taW5jLmNvbQ/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YW8taW5jLmNvbQ/images/2024-10-01_logo.png,3674,SEMICONDUCTORS & RELATED DEVICES,AAOI,,45078203.0
AAON,1,Aaon Inc,stocks,us,XNAS,CS,usd,0000824142,"AAON Inc is a manufacturer of air-conditioning and heating equipment. The products include rooftop units, chillers, packaged outdoor mechanical rooms, air-handling units, makeup air units, energy-recovery units, condensing units, geothermal heat pumps, and self-contained units and coils. AAON's products serve the commercial and industrial new construction and replacement markets, primarily in North America.",https://www.aaon.com,1990-12-01,10673640355.0,(918) 583-2266,3666,2425 SOUTH YUKON AVE.,,TULSA,OK,74107,https://api.polygon.io/v1/reference/company-branding/YWFvbi5jb20/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWFvbi5jb20/images/2024-10-01_logo.png,3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,AAON,,81279625.0
AAP,1,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,usd,0001158449,"Advance Auto Parts is a leading auto parts retailer in North America with more than 4,000 store and branch locations. About 55% of the firm's sales are geared toward the professional channel, with the remaining 45% going to the do-it-yourself market. Through its vast store footprint and distribution network, Advance manages thousands of stock-keeping units conducive to various vehicle makes and models. The retailer primarily competes on the basis of inventory availability and service speed, making the operating efficiency of its hub and spoke distribution model critical to meeting customer needs.",https://www.advanceautoparts.com,2001-11-29,2619955740.18,(540) 362-4911,69000,4200 SIX FORKS ROAD,,RALEIGH,NC,27609,https://api.polygon.io/v1/reference/company-branding/YWR2YW5jZWF1dG9wYXJ0cy5jb20/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWR2YW5jZWF1dG9wYXJ0cy5jb20/images/2024-10-01_logo.svg,5531,RETAIL-AUTO & HOME SUPPLY STORES,AAP,,59734513.0
AAPB,1,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETS,usd,0001689873,,,2022-08-09,,,,,,,,,,,,,AAPB,,
AAPD,1,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETS,usd,,,,2022-08-09,,,,,,,,,,,,,AAPD,,
AAPL,1,Apple Inc.,stocks,us,XNAS,CS,usd,0000320193,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",https://www.apple.com,1980-12-12,3750689160990.0,(408) 996-1010,164000,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,https://api.polygon.io/v1/reference/company-branding/YXBwbGUuY29t/images/2024-10-01_icon.png,https://api.polygon.io/v1/reference/company-branding/YXBwbGUuY29t/images/2024-10-01_logo.svg,3571,ELECTRONIC COMPUTERS,AAPL,,15115823000.0
AAPR,1,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,usd,0001415726,,,2024-04-01,,,,,,,,,,,,,AAPR,,
AAPU,1,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETS,usd,,,,2022-08-09,,,,,,,,,,,,,AAPU,,
AAPX,1,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETS,usd,,,,2024-01-11,,,,,,,,,,,,,AAPX,,
AAPY,1,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETS,usd,,,,2023-10-27,,,,,,,,,,,,,AAPY,,
AAT,1,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,usd,0001500217,"American Assets Trust Inc is a self-administered real estate investment trust based in the United States. The company invests in, operates, and develops retail, office, residential, and mixed-use properties. Properties are predominantly located in South California, Northern California, Oregon, Washington, and Hawaii. American Assets operates through four segments based on property type: retail; office; mixed-use, which consists of retail and hotel components; and multifamily, which includes the company's apartment properties. The retail and office segments collectively contribute the majority of the total revenue.",https://www.americanassetstrust.com,2011-01-13,1694282039.06,(858) 350-2600,228,3420 CARMEL MOUNTAIN ROAD,SUITE 100,SAN DIEGO,CA,92121,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5hc3NldHN0cnVzdC5jb20/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5hc3NldHN0cnVzdC5jb20/images/2024-10-01_logo.png,6798,REAL ESTATE INVESTMENT TRUSTS,AAT,,60901583.0
AAXJ,1,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,usd,0001100663,,,2008-08-15,,,,,,,,,,,,,AAXJ,,
AB,1,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,usd,0000825313,"AllianceBernstein provides investment management services to institutional (42% of assets under management), retail (41%), and private (17%) clients through products that includes mutual funds, hedge funds, and separately managed accounts. At the end of October 2024, AB had $793 billion in managed assets, composed primarily of fixed-income (37% of AUM) and equity (42%) strategies, with other investments (made up of asset allocation services and certain other alternative investments) accounting for the remainder.",https://www.alliancebernstein.com,1992-03-09,4078001084.15,(615) 622-0000,4707,501 COMMERCE STREET,,NASHVILLE,TN,37203,https://api.polygon.io/v1/reference/company-branding/YWxsaWFuY2ViZXJuc3RlaW4uY29t/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWxsaWFuY2ViZXJuc3RlaW4uY29t/images/2024-10-01_logo.svg,6282,INVESTMENT ADVICE,AB,,113435357.0
ABAT,1,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,usd,0001576873,"American Battery Technology Co is engaged in lithium-ion battery recycling, battery metals and material extraction, and resource production. It is a battery metals company producing low-cost battery metals with a commitment to closed-loop, clean energy technologies.",https://www.americanbatterytechnology.com,2015-10-15,70549664.0423,775-473-4744,98,100 WASHINGTON STREET,SUITE 100,RENO,NV,89503,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5iYXR0ZXJ5dGVjaG5vbG9neS5jb20/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5iYXR0ZXJ5dGVjaG5vbG9neS5jb20/images/2024-10-01_logo.png,1400,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),ABAT,,74521669.0
ABBV,1,ABBVIE INC.,stocks,us,XNYS,CS,usd,0001551152,"AbbVie is a pharmaceutical firm with a strong exposure to immunology (with Humira, Skyrizi, and Rinvoq) and oncology (with Imbruvica and Venclexta). The company was spun off from Abbott in early 2013. The 2020 acquisition of Allergan added several new products and drugs in aesthetics (including Botox).",http://www.abbvieinvestor.com,2012-12-10,306369117798.51,(847) 932-7900,50000,1 NORTH WAUKEGAN ROAD,,NORTH CHICAGO,IL,60064,https://api.polygon.io/v1/reference/company-branding/YWJidmllaW52ZXN0b3IuY29t/images/2024-10-01_icon.png,https://api.polygon.io/v1/reference/company-branding/YWJidmllaW52ZXN0b3IuY29t/images/2024-10-01_logo.svg,2834,PHARMACEUTICAL PREPARATIONS,ABBV,,1767140323.0
ABCB,1,Ameris Bancorp,stocks,us,XNYS,CS,usd,0000351569,"Ameris Bancorp is a bank holding company that operates through Ameris Bank, its subsidiary. The company operates branches in Georgia, Alabama, Florida, and South Carolina. It offers traditional banking services such as business banking, personal banking, checking, savings, mobile banking, and others. The bank is organized into five segments: banking, retail mortgage, warehouse lending, SBA, and premium finance. The company generates most of its revenue from the banking segment. Ameris intends to acquire banks in its geographic region to increase its market share and expand beyond its current market.",https://www.amerisbank.com,1994-05-19,4602606887.2,(404) 639-6500,2765,3490 PIEDMONT RD,SUITE 1550,ATLANTA,GA,30305,,https://api.polygon.io/v1/reference/company-branding/YW1lcmlzYmFuay5jb20/images/2024-10-01_logo.svg,6022,STATE COMMERCIAL BANKS,ABCB,,69066730.0
ABCL,1,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,usd,0001703057,"AbCellera Biologics Inc is an antibody discovery and development engine that's specifically designed to address the barriers of conventional discovery, finding the optimal clinical candidate with greater precision and speed, getting to the clinic and patients sooner. With the integrated AbCellera platform, the company's experts search a wide range of diverse antibodies to select the effective and developable leads fast and set partners up for enduring success. The company have extensive experience forging partnerships with emerging biotechs and pharmaceutical companies. AbCellera leverages proprietary hardware, software, and tools along with the latest data science, to operate as strategic partners and help develop optimized solutions faster for any program.",https://www.abcellera.com,2020-12-11,829979246.8,(604) 559-9005,586,2215 YUKON STREET,,VANCOUVER,A1,V5Y 0A1,https://api.polygon.io/v1/reference/company-branding/YWJjZWxsZXJhLmNvbQ/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWJjZWxsZXJhLmNvbQ/images/2024-10-01_logo.svg,2834,PHARMACEUTICAL PREPARATIONS,ABCL,,295366280.0
ABCS,1,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stocks,us,XNAS,ETF,usd,,,,2023-12-15,,,,,,,,,,,,,ABCS,,
ABEO,1,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,usd,0000318306,"Abeona Therapeutics Inc is a clinical-stage biopharmaceutical company. The firm is focused on developing gene therapies and plasma-based products for life-threatening rare genetic diseases. Its clinical programs consist of pz-cel, an autologous, engineered cell therapy currently in development for recessive dystrophic epidermolysis bullosa (RDEB). The Company's development portfolio also features adeno-associated virus (AAV)-based gene therapies designed to treat unmet, medically needed ophthalmic diseases using the novel AIM.",https://www.abeonatherapeutics.com,1980-09-19,256044366.7,646-813-4701,84,"6555 CARNEGIE AVE, 4TH FLOOR",,CLEVELAND,OH,44103,https://api.polygon.io/v1/reference/company-branding/YWJlb25hdGhlcmFwZXV0aWNzLmNvbQ/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWJlb25hdGhlcmFwZXV0aWNzLmNvbQ/images/2024-10-01_logo.png,2834,PHARMACEUTICAL PREPARATIONS,ABEO,,43471030.0
ABEQ,1,Absolute Select Value ETF,stocks,us,ARCX,ETF,usd,0001199046,,,2020-01-22,,,,,,,,,,,,,ABEQ,,
ABEV,1,AMBEV S.A.,stocks,us,XNYS,ADRC,usd,0001565025,"Ambev is the largest brewer in Latin America and the Caribbean and is Anheuser-Busch InBev's subsidiary in the region. It produces, distributes, and sells beer and PepsiCo products in Brazil and other Latin American countries and owns Argentina's largest brewer, Quinsa. Ambev was formed in 1999 through the merger of Brazil's two largest beverage companies, Brahma and Antarctica. In 2004, Ambev combined with Canadian brewer Labatt, giving Interbrew (now AB InBev) a controlling interest of 61.8% as at the end of 2023.",https://www.ambev.com.br,1996-08-01,33658378313.1,,42774,,,,,,,https://api.polygon.io/v1/reference/company-branding/YW1iZXYuY29tLmJy/images/2024-07-01_logo.svg,,,ABEV,,15728214165.0
ABFL,1,Abacus FCF Leaders ETF,stocks,us,BATS,ETF,usd,,,,,,,,,,,,,,,,,ABFL,,
ABG,1,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,usd,0001144980,"Asbury Automotive Group is a regional collection of automobile dealerships that went public in March 2002. The company operates 155 new-vehicle stores and 37 collision centers. Over 70% of new-vehicle revenue is from luxury and import brands. Asbury also offers third-party financing and insurance products and its own F&I products via Total Care Auto. Asbury operates in 15 states (mostly Texas, the West, the Mid-Atlantic, and the Southeast). Asbury store brands include McDavid and Park Place in Texas, Koons in the Washington, D.C. area, and the Larry H. Miller brand in the Western US. Asbury generated $14.8 billion of revenue in 2023 and is based in the Atlanta area. The firm targets at least $30 billion of revenue sometime between 2025 and 2030.",https://www.asburyauto.com,2002-03-13,4969730097.48,770-418-8200,15000,2905 PREMIERE PARKWAY NW,SUITE 300,DULUTH,GA,30097,,https://api.polygon.io/v1/reference/company-branding/YXNidXJ5YXV0by5jb20/images/2024-10-01_logo.svg,5500,RETAIL-AUTO DEALERS & GASOLINE STATIONS,ABG,,19587459.0
ABHY,1,Abacus Tactical High Yield ETF,stocks,us,BATS,ETF,usd,,,,,,,,,,,,,,,,,ABHY,,
ABL,1,"Abacus Life, Inc. Class A Common Stock",stocks,us,XNAS,CS,usd,0001814287,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,https://www.abacuslife.com,2023-07-03,745506481.76,(800) 561-4148,102,"2101 PARK CENTER DRIVE, SUITE 200",,ORLANDO,FL,32835,,https://api.polygon.io/v1/reference/company-branding/YWJhY3VzbGlmZS5jb20/images/2024-09-01_logo.png,6282,INVESTMENT ADVICE,ABL,,93892504.0
ABLD,1,Abacus FCF Real Assets Leaders ETF,stocks,us,BATS,ETF,usd,,,,,,,,,,,,,,,,,ABLD,,
ABLG,1,Abacus FCF International Leaders ETF,stocks,us,BATS,ETF,usd,,,,,,,,,,,,,,,,,ABLG,,
ABLLL,1,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",stocks,us,XNAS,CS,usd,0001814287,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,https://www.abacuslife.com,2023-11-22,,(800) 561-4148,102,"2101 PARK CENTER DRIVE, SUITE 200",,ORLANDO,FL,32835,,https://api.polygon.io/v1/reference/company-branding/YWJhY3VzbGlmZS5jb20/images/2024-09-01_logo.png,6282,INVESTMENT ADVICE,ABLL,L,
ABLLW,1,"Abacus Life, Inc. Warrant",stocks,us,XNAS,WARRANT,usd,0001814287,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,https://www.abacuslife.com,2023-07-03,,(800) 561-4148,102,"2101 PARK CENTER DRIVE, SUITE 200",,ORLANDO,FL,32835,,https://api.polygon.io/v1/reference/company-branding/YWJhY3VzbGlmZS5jb20/images/2024-09-01_logo.png,6282,INVESTMENT ADVICE,ABLL,W,
ABLV,1,Able View Global Inc. Class B Ordinary Shares,stocks,us,XNAS,CS,usd,0001957489,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.",https://www.ableview.com,2023-08-18,23456091.2799,,98,,,,,,https://api.polygon.io/v1/reference/company-branding/YWJsZXZpZXcuY29t/images/2024-10-01_icon.jpeg,,,,ABLV,,41878399.0
ABLVW,1,Able View Global Inc. Warrant,stocks,us,XNAS,WARRANT,usd,0001957489,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.",https://www.ableview.com,2023-08-18,,,98,,,,,,https://api.polygon.io/v1/reference/company-branding/YWJsZXZpZXcuY29t/images/2024-10-01_icon.jpeg,,,,ABLV,W,
ABM,1,"ABM Industries, Inc.",stocks,us,XNYS,CS,usd,0000771497,"ABM Industries Inc is a provider of integrated facility solutions. It offers its solutions through five segments: Business and Industry, Manufacturing and Distribution, Education, Aviation and Technical solutions. The company derives the majority of its revenue from the business and industry segment, which encompasses janitorial, facilities engineering, and parking services for commercial real estate properties and sports and entertainment venues, as well as vehicle maintenance and other services to rental car providers. The company mainly operates in the United States of America.",https://www.abm.com,1984-07-19,3525729192.85,212 297-0200,123000,ONE LIBERTY PLAZA,7TH FLOOR,NEW YORK,NY,10006,https://api.polygon.io/v1/reference/company-branding/YWJtLmNvbQ/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWJtLmNvbQ/images/2024-10-01_logo.svg,7340,SERVICES-TO DWELLINGS & OTHER BUILDINGS,ABM,,62791259.0
ABNB,1,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,usd,0001559720,"Started in 2008, Airbnb is the world's largest online alternative accommodation travel agency, also offering booking services for boutique hotels and experiences. Airbnb's platform offered over 8 million active accommodation listings as of Sept. 30, 2024. Listings from the company's over 5 million hosts are spread over almost every country in the world. In 2023, 50% of revenue was from the North American region. Transaction fees for online bookings account for all its revenue.",https://www.airbnb.com,2020-12-10,81813846258.0,415.800.5959,6907,888 BRANNAN ST.,,SAN FRANCISCO,CA,94103,https://api.polygon.io/v1/reference/company-branding/YWlyYm5iLmNvbQ/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWlyYm5iLmNvbQ/images/2024-10-01_logo.svg,7340,SERVICES-TO DWELLINGS & OTHER BUILDINGS,ABNB,,624771640.0
ABNY,1,YieldMax ABNB Option Income Strategy ETF,stocks,us,ARCX,ETS,usd,,,,2024-06-25,,,,,,,,,,,,,ABNY,,
ABOS,1,"Acumen Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,usd,0001576885,"Acumen Pharmaceuticals Inc is a clinical-stage biopharmaceutical company developing a novel disease-modifying approach to target what it believes to be a key underlying cause of Alzheimer's disease. The company's drug candidate, ACU193, is a subclass monoclonal antibody that selectively targets amyloid-beta oligomers.",https://www.acumenpharm.com,2021-07-01,121961949.34,925-368-8508,52,427 PARK ST.,,CHARLOTTESVILLE,VA,22902,https://api.polygon.io/v1/reference/company-branding/YWN1bWVucGhhcm0uY29t/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWN1bWVucGhhcm0uY29t/images/2024-10-01_logo.png,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",ABOS,,60079778.0
ABOT,1,Abacus FCF Innovation Leaders ETF,stocks,us,BATS,ETF,usd,,,,,,,,,,,,,,,,,ABOT,,
ABP,1,"Abpro Holdings, Inc Common Stock",stocks,us,XNAS,CS,usd,0001893219,"Abpro Holdings Inc is a biotechnology company dedicated to developing next-generation antibody therapeutics with the goal of improving the lives of patients with severe and life-threatening diseases. It is focused on novel antibody constructs for immuno-oncology and ophthalmology. By leveraging its proprietary DiversImmune and MultiMabTM antibody discovery and engineering platforms, The company is developing a pipeline of next-generation antibodies, both independently and through collaborations with global pharmaceutical and research institutions.",https://www.abpro.com,2024-11-13,78823465.65,248-890-7200,,"6 ST JOHNS LANE, FLOOR 5",,NEW YORK,NY,10013,,,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",ABP,,51518605.0
ABPWW,1,"Abpro Holdings, Inc. Warrant",stocks,us,XNAS,WARRANT,usd,,"Abpro Holdings Inc is a biotechnology company dedicated to developing next-generation antibody therapeutics with the goal of improving the lives of patients with severe and life-threatening diseases. It is focused on novel antibody constructs for immuno-oncology and ophthalmology. By leveraging its proprietary DiversImmune and MultiMabTM antibody discovery and engineering platforms, The company is developing a pipeline of next-generation antibodies, both independently and through collaborations with global pharmaceutical and research institutions.",https://www.abpro.com,2024-11-13,,,,,,,,,,,,,ABPW,W,
ABR,1,"Arbor Realty Trust, Inc.",stocks,us,XNYS,CS,usd,0001253986,"Arbor Realty Trust Inc is a specialized real estate finance company. It invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred, and direct equity. In addition, it may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. The company has two business segments, Structured Business and Agency Business. It generates a majority of its revenue from the Structured Business Segment. The company is externally managed and advised by Arbor Commercial Mortgage, LLC.",https://www.arbor.com,2004-04-07,2725396827.65,516-506-4200,647,333 EARLE OVINGTON BOULEVARD,SUITE 900,UNIONDALE,NY,11553,https://api.polygon.io/v1/reference/company-branding/YXJib3IuY29t/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YXJib3IuY29t/images/2024-10-01_logo.svg,6798,REAL ESTATE INVESTMENT TRUSTS,ABR,,188608777.0
