ticker,close_price,weight,date,update_time
BBDO,2.5345,0.01,2023-01-10,2024-12-17 01:58:11
BBY,84.27,0.01,2023-01-10,2024-12-17 01:58:11
AER,60.65,0.01,2023-01-10,2024-12-17 01:58:11
ARE,147.66,0.01,2023-01-10,2024-12-17 01:58:11
ALGN,232.25,0.01,2023-01-10,2024-12-17 01:58:11
BALL,56.09,0.01,2023-01-10,2024-12-17 01:58:11
BAH,97.14,0.01,2023-01-10,2024-12-17 01:58:11
AZPN,202.07,0.01,2023-01-10,2024-12-17 01:58:11
AVY,189.73,0.01,2023-01-10,2024-12-17 01:58:11
BAX,45.74,0.01,2023-01-10,2024-12-17 01:58:11
AVTR,21.47,0.01,2023-01-10,2024-12-17 01:58:11
BAP,148.0,0.01,2023-01-10,2024-12-17 01:58:11
AKAM,87.39,0.01,2023-01-10,2024-12-17 01:58:11
ACM,83.63,0.01,2023-01-10,2024-12-17 01:58:11
AMCR,12.12,0.01,2023-01-10,2024-12-17 01:58:11
ARCC,18.79,0.01,2023-01-10,2024-12-17 01:58:11
AMH,30.94,0.01,2023-01-10,2024-12-17 01:58:11
AGR,43.92,0.01,2023-01-10,2024-12-17 01:58:11
APTV,99.64,0.01,2023-01-10,2024-12-17 01:58:11
AU,21.94,0.01,2023-01-10,2024-12-17 01:58:11
ALLE,112.04,0.01,2023-01-10,2024-12-17 01:58:11
AUR,1.28,0.01,2023-01-10,2024-12-17 01:58:11
AFG,140.98,0.01,2023-01-10,2024-12-17 01:58:11
ALB,223.9,0.01,2023-01-10,2024-12-17 01:58:11
ALLY,26.71,0.01,2023-01-10,2024-12-17 01:58:11
ATR,113.43,0.01,2023-01-10,2024-12-17 01:58:11
ACI,21.3,0.01,2023-01-10,2024-12-17 01:58:11
AIZ,126.52,0.01,2023-01-10,2024-12-17 01:58:11
AAL,15.19,0.01,2023-01-10,2024-12-17 01:58:11
AAON,50.4067,0.01,2023-01-10,2024-12-17 01:58:11
ARMK,44.05,0.01,2023-01-10,2024-12-17 01:58:11
AOS,59.86,0.01,2023-01-10,2024-12-17 01:58:11
APG,19.14,0.01,2023-01-10,2024-12-17 01:58:11
AEG,5.29,0.01,2023-01-10,2024-12-17 01:58:11
ALSN,42.73,0.01,2023-01-10,2024-12-17 01:58:11
AIT,122.14,0.01,2023-01-10,2024-12-17 01:58:11
AR,29.0,0.01,2023-01-10,2024-12-17 01:58:11
AYI,175.86,0.01,2023-01-10,2024-12-17 01:58:11
AES,27.23,0.01,2023-01-10,2024-12-17 01:58:11
APPF,115.65,0.01,2023-01-10,2024-12-17 01:58:11
ALTR,48.9,0.01,2023-01-10,2024-12-17 01:58:11
AA,52.98,0.01,2023-01-10,2024-12-17 01:58:11
AGNC,10.98,0.01,2023-01-10,2024-12-17 01:58:11
APA,43.24,0.01,2023-01-10,2024-12-17 01:58:11
AXTA,26.92,0.01,2023-01-10,2024-12-17 01:58:11
AAPL,133.49,0.01,2023-01-11,2024-12-17 01:58:33
AMZN,95.09,0.01,2023-01-11,2024-12-17 01:58:33
AVGO,57.814,0.01,2023-01-11,2024-12-17 01:58:33
BAC,34.38,0.01,2023-01-11,2024-12-17 01:58:33
ABBV,157.17,0.01,2023-01-11,2024-12-17 01:58:33
ASML,644.68,0.01,2023-01-11,2024-12-17 01:58:33
ACN,281.08,0.01,2023-01-11,2024-12-17 01:58:33
AXP,153.92,0.01,2023-01-11,2024-12-17 01:58:33
BABA,115.02,0.01,2023-01-11,2024-12-17 01:58:33
AZN,70.45,0.01,2023-01-11,2024-12-17 01:58:33
AMD,69.06,0.01,2023-01-11,2024-12-17 01:58:33
ADBE,342.93,0.01,2023-01-11,2024-12-17 01:58:33
ABT,113.15,0.01,2023-01-11,2024-12-17 01:58:33
AMGN,272.91,0.01,2023-01-11,2024-12-17 01:58:33
ANET,29.0825,0.01,2023-01-11,2024-12-17 01:58:33
AMAT,110.06,0.01,2023-01-11,2024-12-17 01:58:33
BA,208.03,0.01,2023-01-11,2024-12-17 01:58:33
ADP,245.05,0.01,2023-01-11,2024-12-17 01:58:33
APP,10.76,0.01,2023-01-11,2024-12-17 01:58:33
ADI,169.79,0.01,2023-01-11,2024-12-17 01:58:33
APO,67.68,0.01,2023-01-11,2024-12-17 01:58:33
AMT,228.12,0.01,2023-01-11,2024-12-17 01:58:33
APH,40.34,0.01,2023-01-11,2024-12-17 01:58:33
ABNB,94.44,0.01,2023-01-11,2024-12-17 01:58:33
AON,312.19,0.01,2023-01-11,2024-12-17 01:58:33
APD,312.77,0.01,2023-01-11,2024-12-17 01:58:33
ADSK,199.93,0.01,2023-01-11,2024-12-17 01:58:33
AJG,195.76,0.01,2023-01-11,2024-12-17 01:58:33
BBVA,6.72,0.01,2023-01-11,2024-12-17 01:58:33
AFL,71.91,0.01,2023-01-11,2024-12-17 01:58:33
AZO,2433.23,0.01,2023-01-11,2024-12-17 01:58:33
AMP,329.99,0.01,2023-01-11,2024-12-17 01:58:33
ALL,138.23,0.01,2023-01-11,2024-12-17 01:58:33
AEP,97.63,0.01,2023-01-11,2024-12-17 01:58:33
AXON,181.43,0.01,2023-01-11,2024-12-17 01:58:33
AMX,20.05,0.01,2023-01-11,2024-12-17 01:58:33
AIG,63.46,0.01,2023-01-11,2024-12-17 01:58:33
AME,145.48,0.01,2023-01-11,2024-12-17 01:58:33
AEM,54.54,0.01,2023-01-11,2024-12-17 01:58:33
ALC,71.92,0.01,2023-01-11,2024-12-17 01:58:33
ARES,74.06,0.01,2023-01-11,2024-12-17 01:58:33
ARGX,395.45,0.01,2023-01-11,2024-12-17 01:58:33
ACGL,62.85,0.01,2023-01-11,2024-12-17 01:58:33
ABEV,2.72,0.01,2023-01-11,2024-12-17 01:58:33
AVB,169.88,0.01,2023-01-11,2024-12-17 01:58:33
ALNY,225.22,0.01,2023-01-11,2024-12-17 01:58:33
ANSS,252.16,0.01,2023-01-11,2024-12-17 01:58:33
AWK,161.42,0.01,2023-01-11,2024-12-17 01:58:33
ADM,86.68,0.01,2023-01-11,2024-12-17 01:58:33
BAM,30.5,0.01,2023-01-11,2024-12-17 01:58:33
AEE,90.62,0.01,2023-01-11,2024-12-17 01:58:33
AFRM,11.32,0.01,2023-01-11,2024-12-17 01:58:33
ASX,7.02,0.01,2023-01-11,2024-12-17 01:58:33
ATO,116.73,0.01,2023-01-11,2024-12-17 01:58:33
BBD,2.96,0.01,2023-01-11,2024-12-17 01:58:33
BBDO,2.6,0.01,2023-01-11,2024-12-17 01:58:33
BBY,85.85,0.01,2023-01-11,2024-12-17 01:58:33
AER,61.4,0.01,2023-01-11,2024-12-17 01:58:33
ARE,153.7,0.01,2023-01-11,2024-12-17 01:58:33
ALGN,234.16,0.01,2023-01-11,2024-12-17 01:58:33
BALL,56.41,0.01,2023-01-11,2024-12-17 01:58:33
BAH,96.87,0.01,2023-01-11,2024-12-17 01:58:33
AZPN,206.11,0.01,2023-01-11,2024-12-17 01:58:33
AVY,192.59,0.01,2023-01-11,2024-12-17 01:58:33
BAX,45.44,0.01,2023-01-11,2024-12-17 01:58:33
AVTR,22.18,0.01,2023-01-11,2024-12-17 01:58:33
BAP,145.02,0.01,2023-01-11,2024-12-17 01:58:33
AKAM,88.73,0.01,2023-01-11,2024-12-17 01:58:33
ACM,83.99,0.01,2023-01-11,2024-12-17 01:58:33
AMCR,12.18,0.01,2023-01-11,2024-12-17 01:58:33
ARCC,19.32,0.01,2023-01-11,2024-12-17 01:58:33
AMH,32.48,0.01,2023-01-11,2024-12-17 01:58:33
AGR,44.54,0.01,2023-01-11,2024-12-17 01:58:33
APTV,99.28,0.01,2023-01-11,2024-12-17 01:58:33
AU,22.01,0.01,2023-01-11,2024-12-17 01:58:33
ALLE,114.11,0.01,2023-01-11,2024-12-17 01:58:33
AUR,1.32,0.01,2023-01-11,2024-12-17 01:58:33
AFG,140.84,0.01,2023-01-11,2024-12-17 01:58:33
ALB,236.56,0.01,2023-01-11,2024-12-17 01:58:33
ALLY,27.23,0.01,2023-01-11,2024-12-17 01:58:33
ATR,113.46,0.01,2023-01-11,2024-12-17 01:58:33
ACI,21.41,0.01,2023-01-11,2024-12-17 01:58:33
AIZ,126.59,0.01,2023-01-11,2024-12-17 01:58:33
AAL,15.34,0.01,2023-01-11,2024-12-17 01:58:33
AAON,50.6467,0.01,2023-01-11,2024-12-17 01:58:33
ARMK,44.32,0.01,2023-01-11,2024-12-17 01:58:33
AOS,62.58,0.01,2023-01-11,2024-12-17 01:58:33
APG,19.64,0.01,2023-01-11,2024-12-17 01:58:33
AEG,5.25,0.01,2023-01-11,2024-12-17 01:58:33
ALSN,43.19,0.01,2023-01-11,2024-12-17 01:58:33
AIT,124.01,0.01,2023-01-11,2024-12-17 01:58:33
AR,28.76,0.01,2023-01-11,2024-12-17 01:58:33
AYI,174.51,0.01,2023-01-11,2024-12-17 01:58:33
AES,27.73,0.01,2023-01-11,2024-12-17 01:58:33
APPF,114.89,0.01,2023-01-11,2024-12-17 01:58:33
ALTR,49.5,0.01,2023-01-11,2024-12-17 01:58:33
AA,51.95,0.01,2023-01-11,2024-12-17 01:58:33
AGNC,11.14,0.01,2023-01-11,2024-12-17 01:58:33
APA,43.82,0.01,2023-01-11,2024-12-17 01:58:33
AXTA,27.45,0.01,2023-01-11,2024-12-17 01:58:33
AAPL,133.49,0.01,2023-01-11,2024-12-17 01:58:42
AMZN,95.09,0.01,2023-01-11,2024-12-17 01:58:42
AVGO,57.814,0.01,2023-01-11,2024-12-17 01:58:42
BAC,34.38,0.01,2023-01-11,2024-12-17 01:58:42
ABBV,157.17,0.01,2023-01-11,2024-12-17 01:58:42
ASML,644.68,0.01,2023-01-11,2024-12-17 01:58:42
ACN,281.08,0.01,2023-01-11,2024-12-17 01:58:42
AXP,153.92,0.01,2023-01-11,2024-12-17 01:58:42
BABA,115.02,0.01,2023-01-11,2024-12-17 01:58:42
AZN,70.45,0.01,2023-01-11,2024-12-17 01:58:42
AMD,69.06,0.01,2023-01-11,2024-12-17 01:58:42
ADBE,342.93,0.01,2023-01-11,2024-12-17 01:58:42
ABT,113.15,0.01,2023-01-11,2024-12-17 01:58:42
AMGN,272.91,0.01,2023-01-11,2024-12-17 01:58:42
ANET,29.0825,0.01,2023-01-11,2024-12-17 01:58:42
AMAT,110.06,0.01,2023-01-11,2024-12-17 01:58:42
BA,208.03,0.01,2023-01-11,2024-12-17 01:58:42
ADP,245.05,0.01,2023-01-11,2024-12-17 01:58:42
APP,10.76,0.01,2023-01-11,2024-12-17 01:58:42
ADI,169.79,0.01,2023-01-11,2024-12-17 01:58:42
APO,67.68,0.01,2023-01-11,2024-12-17 01:58:42
AMT,228.12,0.01,2023-01-11,2024-12-17 01:58:42
APH,40.34,0.01,2023-01-11,2024-12-17 01:58:42
ABNB,94.44,0.01,2023-01-11,2024-12-17 01:58:42
AON,312.19,0.01,2023-01-11,2024-12-17 01:58:42
APD,312.77,0.01,2023-01-11,2024-12-17 01:58:42
ADSK,199.93,0.01,2023-01-11,2024-12-17 01:58:42
AJG,195.76,0.01,2023-01-11,2024-12-17 01:58:42
BBVA,6.72,0.01,2023-01-11,2024-12-17 01:58:42
AFL,71.91,0.01,2023-01-11,2024-12-17 01:58:42
AZO,2433.23,0.01,2023-01-11,2024-12-17 01:58:42
AMP,329.99,0.01,2023-01-11,2024-12-17 01:58:42
ALL,138.23,0.01,2023-01-11,2024-12-17 01:58:42
AEP,97.63,0.01,2023-01-11,2024-12-17 01:58:42
AXON,181.43,0.01,2023-01-11,2024-12-17 01:58:42
AMX,20.05,0.01,2023-01-11,2024-12-17 01:58:42
AIG,63.46,0.01,2023-01-11,2024-12-17 01:58:42
AME,145.48,0.01,2023-01-11,2024-12-17 01:58:42
AEM,54.54,0.01,2023-01-11,2024-12-17 01:58:42
ALC,71.92,0.01,2023-01-11,2024-12-17 01:58:42
ARES,74.06,0.01,2023-01-11,2024-12-17 01:58:42
ARGX,395.45,0.01,2023-01-11,2024-12-17 01:58:42
ACGL,62.85,0.01,2023-01-11,2024-12-17 01:58:42
ABEV,2.72,0.01,2023-01-11,2024-12-17 01:58:42
AVB,169.88,0.01,2023-01-11,2024-12-17 01:58:42
ALNY,225.22,0.01,2023-01-11,2024-12-17 01:58:42
ANSS,252.16,0.01,2023-01-11,2024-12-17 01:58:42
AWK,161.42,0.01,2023-01-11,2024-12-17 01:58:42
ADM,86.68,0.01,2023-01-11,2024-12-17 01:58:42
BAM,30.5,0.01,2023-01-11,2024-12-17 01:58:42
AEE,90.62,0.01,2023-01-11,2024-12-17 01:58:42
AFRM,11.32,0.01,2023-01-11,2024-12-17 01:58:42
ASX,7.02,0.01,2023-01-11,2024-12-17 01:58:42
ATO,116.73,0.01,2023-01-11,2024-12-17 01:58:42
BBD,2.96,0.01,2023-01-11,2024-12-17 01:58:42
BBDO,2.6,0.01,2023-01-11,2024-12-17 01:58:42
BBY,85.85,0.01,2023-01-11,2024-12-17 01:58:42
AER,61.4,0.01,2023-01-11,2024-12-17 01:58:42
ARE,153.7,0.01,2023-01-11,2024-12-17 01:58:42
ALGN,234.16,0.01,2023-01-11,2024-12-17 01:58:42
BALL,56.41,0.01,2023-01-11,2024-12-17 01:58:42
BAH,96.87,0.01,2023-01-11,2024-12-17 01:58:42
AZPN,206.11,0.01,2023-01-11,2024-12-17 01:58:42
AVY,192.59,0.01,2023-01-11,2024-12-17 01:58:42
BAX,45.44,0.01,2023-01-11,2024-12-17 01:58:42
AVTR,22.18,0.01,2023-01-11,2024-12-17 01:58:42
BAP,145.02,0.01,2023-01-11,2024-12-17 01:58:42
AKAM,88.73,0.01,2023-01-11,2024-12-17 01:58:42
ACM,83.99,0.01,2023-01-11,2024-12-17 01:58:42
AMCR,12.18,0.01,2023-01-11,2024-12-17 01:58:42
ARCC,19.32,0.01,2023-01-11,2024-12-17 01:58:42
AMH,32.48,0.01,2023-01-11,2024-12-17 01:58:42
AGR,44.54,0.01,2023-01-11,2024-12-17 01:58:42
APTV,99.28,0.01,2023-01-11,2024-12-17 01:58:42
AU,22.01,0.01,2023-01-11,2024-12-17 01:58:42
ALLE,114.11,0.01,2023-01-11,2024-12-17 01:58:42
AUR,1.32,0.01,2023-01-11,2024-12-17 01:58:42
AFG,140.84,0.01,2023-01-11,2024-12-17 01:58:42
ALB,236.56,0.01,2023-01-11,2024-12-17 01:58:42
ALLY,27.23,0.01,2023-01-11,2024-12-17 01:58:42
ATR,113.46,0.01,2023-01-11,2024-12-17 01:58:42
ACI,21.41,0.01,2023-01-11,2024-12-17 01:58:42
AIZ,126.59,0.01,2023-01-11,2024-12-17 01:58:42
AAL,15.34,0.01,2023-01-11,2024-12-17 01:58:42
AAON,50.6467,0.01,2023-01-11,2024-12-17 01:58:42
ARMK,44.32,0.01,2023-01-11,2024-12-17 01:58:42
AOS,62.58,0.01,2023-01-11,2024-12-17 01:58:42
APG,19.64,0.01,2023-01-11,2024-12-17 01:58:42
AEG,5.25,0.01,2023-01-11,2024-12-17 01:58:42
ALSN,43.19,0.01,2023-01-11,2024-12-17 01:58:42
AIT,124.01,0.01,2023-01-11,2024-12-17 01:58:42
AR,28.76,0.01,2023-01-11,2024-12-17 01:58:42
AYI,174.51,0.01,2023-01-11,2024-12-17 01:58:42
AES,27.73,0.01,2023-01-11,2024-12-17 01:58:42
APPF,114.89,0.01,2023-01-11,2024-12-17 01:58:42
ALTR,49.5,0.01,2023-01-11,2024-12-17 01:58:42
AA,51.95,0.01,2023-01-11,2024-12-17 01:58:42
AGNC,11.14,0.01,2023-01-11,2024-12-17 01:58:42
APA,43.82,0.01,2023-01-11,2024-12-17 01:58:42
AXTA,27.45,0.01,2023-01-11,2024-12-17 01:58:42
AAPL,135.94,0.01,2023-01-17,2024-12-17 01:59:27
AMZN,96.05,0.01,2023-01-17,2024-12-17 01:59:27
AVGO,57.924,0.01,2023-01-17,2024-12-17 01:59:27
BAC,34.52,0.01,2023-01-17,2024-12-17 01:59:27
ABBV,152.83,0.01,2023-01-17,2024-12-17 01:59:27
ASML,658.19,0.01,2023-01-17,2024-12-17 01:59:27
ACN,284.88,0.01,2023-01-17,2024-12-17 01:59:27
AXP,153.75,0.01,2023-01-17,2024-12-17 01:59:27
BABA,115.19,0.01,2023-01-17,2024-12-17 01:59:27
AZN,70.74,0.01,2023-01-17,2024-12-17 01:59:27
AMD,71.59,0.01,2023-01-17,2024-12-17 01:59:27
ADBE,344.38,0.01,2023-01-17,2024-12-17 01:59:27
ABT,113.39,0.01,2023-01-17,2024-12-17 01:59:27
AMGN,269.42,0.01,2023-01-17,2024-12-17 01:59:27
ANET,29.075,0.01,2023-01-17,2024-12-17 01:59:27
AMAT,109.41,0.01,2023-01-17,2024-12-17 01:59:27
BA,211.41,0.01,2023-01-17,2024-12-17 01:59:27
ADP,236.78,0.01,2023-01-17,2024-12-17 01:59:27
APP,10.9,0.01,2023-01-17,2024-12-17 01:59:27
ADI,166.91,0.01,2023-01-17,2024-12-17 01:59:27
APO,69.09,0.01,2023-01-17,2024-12-17 01:59:27
AMT,231.05,0.01,2023-01-17,2024-12-17 01:59:27
APH,40.345,0.01,2023-01-17,2024-12-17 01:59:27
ABNB,101.27,0.01,2023-01-17,2024-12-17 01:59:27
AON,316.94,0.01,2023-01-17,2024-12-17 01:59:27
APD,306.38,0.01,2023-01-17,2024-12-17 01:59:27
ADSK,200.7,0.01,2023-01-17,2024-12-17 01:59:27
AJG,195.65,0.01,2023-01-17,2024-12-17 01:59:27
BBVA,6.93,0.01,2023-01-17,2024-12-17 01:59:27
AFL,72.44,0.01,2023-01-17,2024-12-17 01:59:27
AZO,2355.88,0.01,2023-01-17,2024-12-17 01:59:27
AMP,336.28,0.01,2023-01-17,2024-12-17 01:59:27
ALL,135.52,0.01,2023-01-17,2024-12-17 01:59:27
AEP,94.86,0.01,2023-01-17,2024-12-17 01:59:27
AXON,184.47,0.01,2023-01-17,2024-12-17 01:59:27
AMX,20.71,0.01,2023-01-17,2024-12-17 01:59:27
AIG,63.78,0.01,2023-01-17,2024-12-17 01:59:27
AME,144.63,0.01,2023-01-17,2024-12-17 01:59:27
AEM,54.58,0.01,2023-01-17,2024-12-17 01:59:27
ALC,74.28,0.01,2023-01-17,2024-12-17 01:59:27
ARES,78.07,0.01,2023-01-17,2024-12-17 01:59:27
ARGX,396.56,0.01,2023-01-17,2024-12-17 01:59:27
ACGL,64.0,0.01,2023-01-17,2024-12-17 01:59:27
ABEV,2.72,0.01,2023-01-17,2024-12-17 01:59:27
AVB,170.01,0.01,2023-01-17,2024-12-17 01:59:27
ALNY,233.73,0.01,2023-01-17,2024-12-17 01:59:27
ANSS,252.68,0.01,2023-01-17,2024-12-17 01:59:27
AWK,157.24,0.01,2023-01-17,2024-12-17 01:59:27
ADM,88.09,0.01,2023-01-17,2024-12-17 01:59:27
BAM,31.86,0.01,2023-01-17,2024-12-17 01:59:27
AEE,89.24,0.01,2023-01-17,2024-12-17 01:59:27
AFRM,13.45,0.01,2023-01-17,2024-12-17 01:59:27
ASX,7.11,0.01,2023-01-17,2024-12-17 01:59:27
ATO,113.95,0.01,2023-01-17,2024-12-17 01:59:27
BBD,2.87,0.01,2023-01-17,2024-12-17 01:59:27
BBDO,2.59,0.01,2023-01-17,2024-12-17 01:59:27
BBY,84.42,0.01,2023-01-17,2024-12-17 01:59:27
AER,64.01,0.01,2023-01-17,2024-12-17 01:59:27
ARE,156.16,0.01,2023-01-17,2024-12-17 01:59:27
ALGN,246.04,0.01,2023-01-17,2024-12-17 01:59:27
BALL,56.96,0.01,2023-01-17,2024-12-17 01:59:27
BAH,94.9,0.01,2023-01-17,2024-12-17 01:59:27
AZPN,204.66,0.01,2023-01-17,2024-12-17 01:59:27
AVY,193.51,0.01,2023-01-17,2024-12-17 01:59:27
BAX,44.74,0.01,2023-01-17,2024-12-17 01:59:27
AVTR,22.26,0.01,2023-01-17,2024-12-17 01:59:27
BAP,143.44,0.01,2023-01-17,2024-12-17 01:59:27
AKAM,88.88,0.01,2023-01-17,2024-12-17 01:59:27
ACM,86.58,0.01,2023-01-17,2024-12-17 01:59:27
AMCR,12.15,0.01,2023-01-17,2024-12-17 01:59:27
ARCC,18.89,0.01,2023-01-17,2024-12-17 01:59:27
AMH,32.63,0.01,2023-01-17,2024-12-17 01:59:27
AGR,43.27,0.01,2023-01-17,2024-12-17 01:59:27
APTV,102.55,0.01,2023-01-17,2024-12-17 01:59:27
AU,22.09,0.01,2023-01-17,2024-12-17 01:59:27
ALLE,112.79,0.01,2023-01-17,2024-12-17 01:59:27
AUR,1.47,0.01,2023-01-17,2024-12-17 01:59:27
AFG,140.79,0.01,2023-01-17,2024-12-17 01:59:27
ALB,243.07,0.01,2023-01-17,2024-12-17 01:59:27
ALLY,27.04,0.01,2023-01-17,2024-12-17 01:59:27
ATR,114.06,0.01,2023-01-17,2024-12-17 01:59:27
ACI,21.21,0.01,2023-01-17,2024-12-17 01:59:27
AIZ,128.0,0.01,2023-01-17,2024-12-17 01:59:27
AAL,17.08,0.01,2023-01-17,2024-12-17 01:59:27
AAON,51.4,0.01,2023-01-17,2024-12-17 01:59:27
ARMK,45.38,0.01,2023-01-17,2024-12-17 01:59:27
AOS,60.03,0.01,2023-01-17,2024-12-17 01:59:27
APG,20.6,0.01,2023-01-17,2024-12-17 01:59:27
AEG,5.4,0.01,2023-01-17,2024-12-17 01:59:27
ALSN,43.03,0.01,2023-01-17,2024-12-17 01:59:27
AIT,124.66,0.01,2023-01-17,2024-12-17 01:59:27
AR,30.11,0.01,2023-01-17,2024-12-17 01:59:27
AYI,173.48,0.01,2023-01-17,2024-12-17 01:59:27
AES,27.6,0.01,2023-01-17,2024-12-17 01:59:27
APPF,119.21,0.01,2023-01-17,2024-12-17 01:59:27
ALTR,50.18,0.01,2023-01-17,2024-12-17 01:59:27
AA,54.86,0.01,2023-01-17,2024-12-17 01:59:27
AGNC,11.21,0.01,2023-01-17,2024-12-17 01:59:27
APA,45.14,0.01,2023-01-17,2024-12-17 01:59:27
AXTA,27.01,0.01,2023-01-17,2024-12-17 01:59:27
AAPL,135.21,0.01,2023-01-18,2024-12-17 01:59:43
AMZN,95.46,0.01,2023-01-18,2024-12-17 01:59:43
AVGO,57.429,0.01,2023-01-18,2024-12-17 01:59:43
BAC,33.72,0.01,2023-01-18,2024-12-17 01:59:43
ABBV,149.2,0.01,2023-01-18,2024-12-17 01:59:43
ASML,652.29,0.01,2023-01-18,2024-12-17 01:59:43
ACN,277.9,0.01,2023-01-18,2024-12-17 01:59:43
AXP,150.42,0.01,2023-01-18,2024-12-17 01:59:43
BABA,113.22,0.01,2023-01-18,2024-12-17 01:59:43
AZN,70.89,0.01,2023-01-18,2024-12-17 01:59:43
AMD,70.53,0.01,2023-01-18,2024-12-17 01:59:43
ADBE,341.31,0.01,2023-01-18,2024-12-17 01:59:43
ABT,111.51,0.01,2023-01-18,2024-12-17 01:59:43
AMGN,264.385,0.01,2023-01-18,2024-12-17 01:59:43
ANET,28.75,0.01,2023-01-18,2024-12-17 01:59:43
AMAT,109.7,0.01,2023-01-18,2024-12-17 01:59:43
BA,209.41,0.01,2023-01-18,2024-12-17 01:59:43
ADP,234.25,0.01,2023-01-18,2024-12-17 01:59:43
APP,10.7,0.01,2023-01-18,2024-12-17 01:59:43
ADI,166.0,0.01,2023-01-18,2024-12-17 01:59:43
APO,68.03,0.01,2023-01-18,2024-12-17 01:59:43
AMT,225.19,0.01,2023-01-18,2024-12-17 01:59:43
APH,39.455,0.01,2023-01-18,2024-12-17 01:59:43
ABNB,101.11,0.01,2023-01-18,2024-12-17 01:59:43
AON,314.09,0.01,2023-01-18,2024-12-17 01:59:43
APD,302.89,0.01,2023-01-18,2024-12-17 01:59:43
ADSK,198.02,0.01,2023-01-18,2024-12-17 01:59:43
AJG,191.99,0.01,2023-01-18,2024-12-17 01:59:43
BBVA,6.88,0.01,2023-01-18,2024-12-17 01:59:43
AFL,71.88,0.01,2023-01-18,2024-12-17 01:59:43
AZO,2344.93,0.01,2023-01-18,2024-12-17 01:59:43
AMP,328.2,0.01,2023-01-18,2024-12-17 01:59:43
ALL,132.43,0.01,2023-01-18,2024-12-17 01:59:43
